ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
0BBEA7EE7E3ECB14,electric_bike,2024-08-05T18:08:53Z,2024-08-05T18:09:48Z,Franklin St & Monroe St,TA1309000007,Franklin St & Adams St (Temp),TA1309000008,41.880317,-87.635185,41.87943409140013,-87.63550400733948,member
E5C38A1EA72CE393,classic_bike,2024-08-08T13:30:27Z,2024-08-08T14:10:00Z,Franklin St & Monroe St,TA1309000007,Griffin Museum of Science and Industry,KA1503000074,41.880317,-87.635185,41.79172820953,-87.583945009,member
D06C9938E044CED6,electric_bike,2024-08-03T18:21:39Z,2024-08-03T18:31:04Z,Elizabeth St & Randolph St,23001,Desplaines St & Kinzie St,TA1306000003,41.884336,-87.658902,41.888716036,-87.6444478533,member
C5E12067E8ABD24E,electric_bike,2024-08-05T18:31:02Z,2024-08-05T18:53:12Z,Southport Ave & Wrightwood Ave,TA1307000113,Clark St & Bryn Mawr Ave,KA1504000151,41.928773,-87.663913,41.983593,-87.669154,member
E300560A8D8F3458,classic_bike,2024-08-18T10:30:27Z,2024-08-18T10:36:06Z,Broadway & Wilson Ave,13074,Clark St & Leland Ave,TA1309000014,41.965221,-87.658139,41.96708783918421,-87.66729086637497,member
E240044B993587F1,electric_bike,2024-08-17T13:00:30Z,2024-08-17T13:15:32Z,Southport Ave & Wrightwood Ave,TA1307000113,Damen Ave & Thomas St (Augusta Blvd),TA1307000070,41.928773,-87.663913,41.901315,-87.677409,member
02CADB1790F06E58,classic_bike,2024-08-29T19:38:21Z,2024-08-29T19:40:35Z,Southport Ave & Wrightwood Ave,TA1307000113,Ashland Ave & Wrightwood Ave,13296,41.928773,-87.663913,41.92883,-87.668507,member
86DEB6BB7724C897,classic_bike,2024-08-26T20:33:11Z,2024-08-26T20:40:41Z,Southport Ave & Wrightwood Ave,TA1307000113,Clark St & Drummond Pl,TA1307000142,41.928773,-87.663913,41.931248,-87.644336,member
EBCBEC83A55A2846,electric_bike,2024-08-20T07:23:26Z,2024-08-20T07:47:32Z,Kedzie Ave & Milwaukee Ave,13085,Paulina St & Flournoy St,KA1504000104,41.929567,-87.707857,41.87306108789792,-87.66913488507271,member
665B9496809BB4E5,electric_bike,2024-08-28T15:41:47Z,2024-08-28T16:07:11Z,Michigan Ave & Madison St,13036,Clarendon Ave & Gordon Ter,13379,41.882134,-87.625125,41.95786652415174,-87.64950513839722,member
E6C2DA191BE874E0,classic_bike,2024-08-11T13:05:51Z,2024-08-11T13:14:33Z,Wabash Ave & Adams St,KA1503000015,Columbus Dr & Randolph St,13263,41.87947235235,-87.6256886059,41.884728,-87.619521,member
7EF0C48914792E75,electric_bike,2024-08-22T20:33:37Z,2024-08-22T20:43:50Z,Southport Ave & Wrightwood Ave,TA1307000113,Sedgwick St & Schiller St,TA1307000143,41.928773,-87.663913,41.907626,-87.638566,member
889E2DBAD986BFC1,classic_bike,2024-08-29T16:55:25Z,2024-08-29T17:10:42Z,Michigan Ave & Madison St,13036,Michigan Ave & 14th St,TA1307000124,41.882134,-87.625125,41.864059,-87.623727,member
72264EFF7EF24A3F,electric_bike,2024-08-20T12:44:06Z,2024-08-20T12:46:29Z,N Carpenter St & W Lake St,20251.0,N Carpenter St & W Lake St,20251.0,41.885586000000004,-87.6531893,41.885586000000004,-87.6531893,member
0BBC7314DE4E5D1A,classic_bike,2024-08-31T09:32:49Z,2024-08-31T10:28:04Z,Keeler Ave & Carmen Ave,23110,Keeler Ave & Carmen Ave,23110,41.974323,-87.7331,41.974323,-87.7331,casual
51EB3D0102CECCE1,classic_bike,2024-08-31T09:52:38Z,2024-08-31T14:30:13Z,McClurg Ct & Ohio St,TA1306000029,McClurg Ct & Ohio St,TA1306000029,41.892592119709725,-87.61728912591934,41.892592119709725,-87.61728912591934,casual
38D9D3B9A9083DF9,classic_bike,2024-08-31T14:28:15Z,2024-08-31T14:30:35Z,McClurg Ct & Ohio St,TA1306000029,McClurg Ct & Ohio St,TA1306000029,41.892592119709725,-87.61728912591934,41.892592119709725,-87.61728912591934,casual
70B5EB7F9C7E664F,classic_bike,2024-08-31T14:29:03Z,2024-08-31T14:31:06Z,McClurg Ct & Ohio St,TA1306000029,McClurg Ct & Ohio St,TA1306000029,41.892592119709725,-87.61728912591934,41.892592119709725,-87.61728912591934,casual
99DD7E7DFE585D25,classic_bike,2024-08-30T19:28:18Z,2024-08-30T19:47:32Z,McClurg Ct & Ohio St,TA1306000029,McClurg Ct & Ohio St,TA1306000029,41.892592119709725,-87.61728912591934,41.892592119709725,-87.61728912591934,casual
EF6F8284C184E0B2,classic_bike,2024-08-23T17:36:20Z,2024-08-23T19:56:40Z,Stetson Ave & South Water St,TA1308000029,Stetson Ave & South Water St,TA1308000029,41.886835,-87.62232,41.886835,-87.62232,casual
4C883A06BA9FFDE4,electric_bike,2024-08-23T16:58:36Z,2024-08-23T18:13:58Z,Adler Planetarium,13431,Adler Planetarium,13431,41.866095,-87.607267,41.866095,-87.607267,casual
3588501727F25ED0,classic_bike,2024-08-07T17:35:13Z,2024-08-07T17:38:25Z,Adler Planetarium,13431,Adler Planetarium,13431,41.866095,-87.607267,41.866095,-87.607267,casual
68697FEA3460BCE0,classic_bike,2024-08-07T18:46:28Z,2024-08-07T19:18:32Z,Kosciuszko Park,15643,Kosciuszko Park,15643,41.93058537138,-87.7237773635,41.93058537138,-87.7237773635,casual
